goal,a,b,label,edge_type,source,system_tag
take tap dancing lessons,show up for tap lessons,buy tap shoes for class,0,reversed,reversed_edge,three_way_probe
make chicken curry,put the ingredients on the counter,drive back home,0,reversed,reversed_edge,three_way_probe
buy an XBox 1,watch videos of gameplay,research the different consoles,2,truly_parallel,proscript,three_way_probe
expand their business scope,find a school that offers classes,research the credentials needed,2,truly_parallel,proscript,three_way_probe
move into a new apartment,log onto the internet,google apartment listings,1,confirmed,confirmed_edge,three_way_probe
try online dating,make a dating profile,message matches that seem good,1,confirmed,confirmed_edge,three_way_probe
get a six pack,sculpt and tone body as seen fit,attend weekly sessions with trainer,0,reversed,reversed_edge,three_way_probe
go to space,complete honors program,apply to join honors program,0,reversed,reversed_edge,three_way_probe
learn to play a new instrument,go online to research new instruments,buy a new instrument,1,confirmed,confirmed_edge,three_way_probe
start a Notary business,get financing from a bank,find a property to locate the business in,2,truly_parallel,proscript,three_way_probe
eat spicy sushi,use chopsticks to add some wasabi,when order arrives grab chopsticks,0,reversed,reversed_edge,three_way_probe
get across town to the store,put on left sock,put on right sock,2,truly_parallel,proscript,three_way_probe
get their computers ready,Open each computer,Turn on each computer,1,confirmed,confirmed_edge,three_way_probe
start an apple orchard,dig shallow holes,purchase apple seeds,0,reversed,reversed_edge,three_way_probe
go for a trip on an Amtrak train,Walk to train station,Board the train,1,confirmed,confirmed_edge,three_way_probe
go to a concert,Shower and dress up for the event.,Drive to concert hall.,1,confirmed,confirmed_edge,three_way_probe
run a half-marathon,Research good clothes to wear,Find out when a half-marathon is happening,0,reversed,reversed_edge,three_way_probe
make dinner for some guests,Make up a menu.,Write a grocery list.,1,confirmed,confirmed_edge,three_way_probe
get well fast,take the medicine,sleep and relax for a day,1,confirmed,confirmed_edge,three_way_probe
teach horseback riding,Get the horses ready,Wait for people to come to the class,1,confirmed,confirmed_edge,three_way_probe
create a video game,Learn to use an existing game engine,Learn to use a language that is used in games,2,truly_parallel,proscript,three_way_probe
move into a new apartment,find an apartment to visit,google apartment listings,0,reversed,reversed_edge,three_way_probe
head to the park,look up directions to the park,get dress for the park,0,reversed,reversed_edge,three_way_probe
make a keepsake,work on keepsake according to tutorial,put finishing touches on keepsake,1,confirmed,confirmed_edge,three_way_probe
buy a new bike,ask to ride desired bike.,test ride desired bike.,1,confirmed,confirmed_edge,three_way_probe
get more involved,join a group of other parents,plan activities together,2,truly_parallel,proscript,three_way_probe
make some wine,Set the container somewhere dark,Smash and strain grapes into container,0,reversed,reversed_edge,three_way_probe
buy some headphones,watch a video review,look at the headphone reviews,2,truly_parallel,proscript,three_way_probe
make some Popsicles,go to store,buy Popsicle ingredients,1,confirmed,confirmed_edge,three_way_probe
see a new movie that came out,drive to the movie,get snacks on the way,1,confirmed,confirmed_edge,three_way_probe
bake some chocolate cookies,gather all ingredients together,find a large mixing spoon,2,truly_parallel,proscript,three_way_probe
start a book club,Tell the friends to join book club.,Pick out a book to read each week.,1,confirmed,confirmed_edge,three_way_probe
replace a closet door,Buy new door,Go back home,1,confirmed,confirmed_edge,three_way_probe
go apple picking,Drive to apple orchard,Choose an apple orchard,0,reversed,reversed_edge,three_way_probe
open a savings account,Fill out paperwork,Get approved for an account,1,confirmed,confirmed_edge,three_way_probe
learn an instrument,Practice during free time4,Set up materials,0,reversed,reversed_edge,three_way_probe
buy a book,Take the book from the cashier,Take the change from the cashier,2,truly_parallel,proscript,three_way_probe
go on a helicopter ride,Drive to the airport with helicopter,Hand ticket to representative,1,confirmed,confirmed_edge,three_way_probe
start a Babysitters Club like in the books,print out bright colored flyers,get permission from parents to use house,2,truly_parallel,proscript,three_way_probe
purchase a new car,select car wanted,test drive cars,0,reversed,reversed_edge,three_way_probe
learn how to practice ballet,Head to the ballet class,Learn ballet moves from the instructor,1,confirmed,confirmed_edge,three_way_probe
get across town to the store,put on left sock,find socks and shoes,0,reversed,reversed_edge,three_way_probe
go in the navy,Drive to the base,Wait for start date,0,reversed,reversed_edge,three_way_probe
collect bacteria samples,Wear suitable right glove,Wear suitable left glove,2,truly_parallel,proscript,three_way_probe
go to a concert on a school night,Look up concert times,Get permission from parents to be out late,0,reversed,reversed_edge,three_way_probe
make a paper plane,place the paper flat on the table,fold the paper into a plane,1,confirmed,confirmed_edge,three_way_probe
have a dog,Pick out a dog,Put the dog in the car,1,confirmed,confirmed_edge,three_way_probe
take up golfing,Search online for local golf courses.,See what the operational hours are.,1,confirmed,confirmed_edge,three_way_probe
make a new skirt,Pin the skirt together.,Cut out the pattern and material.,0,reversed,reversed_edge,three_way_probe
build a garden last week,shop for gardening supplies,shop for different kinds of plants,2,truly_parallel,proscript,three_way_probe
make some bath soap last week,prepare a workspace,buy the needed ingredients,0,reversed,reversed_edge,three_way_probe
make some cookies,Gather cookie ingredients,Set cookie tray with parchment paper,2,truly_parallel,proscript,three_way_probe
make ice cream,place in freezer for 3 hours,remove from freezer and place in blender,1,confirmed,confirmed_edge,three_way_probe
wake up for school,doze in and out,burrow under warm blankets,2,truly_parallel,proscript,three_way_probe
know why religion was so controversial,read news articles about religion,talk to local authorities on the matter,2,truly_parallel,proscript,three_way_probe
get a college education,walk the stage for a diploma,submit an application for graduation,0,reversed,reversed_edge,three_way_probe
learn how to play poker like a professional,log onto the internet,read poker books,2,truly_parallel,proscript,three_way_probe
get out of town this past weekend,book a hotel,pack a bag of clothes,2,truly_parallel,proscript,three_way_probe
bake some chocolate cookies,find a large mixing bowl,gather all ingredients together,2,truly_parallel,proscript,three_way_probe
gather persimmons where the trees grow wild in the woods,Park car/look for persimmons.,Drive to location of wild trees.,0,reversed,reversed_edge,three_way_probe
get more involved,plan activities together,talk to the child's teachers,2,truly_parallel,proscript,three_way_probe
find a job,Set up an interview with interested parties.,Send the letters.,0,reversed,reversed_edge,three_way_probe
buy some ice cream,wait in the line,look up options in menu,2,truly_parallel,proscript,three_way_probe
get more involved,make time to eat together,ask questions about the child's day,2,truly_parallel,proscript,three_way_probe
learn to dance in time for prom,Start learning basic moves,Go to a few more classes and learn more,1,confirmed,confirmed_edge,three_way_probe
take up golfing,Search online for local golf courses.,Drive to a local golf store.,2,truly_parallel,proscript,three_way_probe
join the tennis team,Buy tennis gear from a sporting goods store.,Practice playing tennis,1,confirmed,confirmed_edge,three_way_probe
learn figure drawing,Obtain blank paper,Find a pencil,2,truly_parallel,proscript,three_way_probe
go to an aerospace museum,Pick out the closest one.,Search the Internet for aerospace museums.,0,reversed,reversed_edge,three_way_probe
find a vaccine for the virus,take lots of classes,take board exams,1,confirmed,confirmed_edge,three_way_probe
earn some cash over the summer,place earnings in a savings account,when prompted go to homes and do odd jobs,0,reversed,reversed_edge,three_way_probe
sing a song at work,settle in at work,Go to work,0,reversed,reversed_edge,three_way_probe
join the tennis team,Find a good tennis court nearby,Buy tennis gear from a sporting goods store.,2,truly_parallel,proscript,three_way_probe
do research about dolphins,find local marine specialists,use the internet to search,2,truly_parallel,proscript,three_way_probe
start a business,come up with business idea,research how to run the business,0,reversed,reversed_edge,three_way_probe
go to work,get dressed for work,brush teeth and wash up,2,truly_parallel,proscript,three_way_probe
learn how to do a cartwheel,log onto the internet,put on gym clothes,2,truly_parallel,proscript,three_way_probe
try every flavor of ice cream at the shop,Ask to sample all,ask what flavors are in stock,0,reversed,reversed_edge,three_way_probe
learn figure drawing,Place pencil tip to paper,Find a pencil,0,reversed,reversed_edge,three_way_probe
find a new book to read,take book to cashier,choose the book,0,reversed,reversed_edge,three_way_probe
join a club,Sit through the meeting.,"If still interested, ask to join.",1,confirmed,confirmed_edge,three_way_probe
learn how to play poker like a professional,play poker in a casino,play poker for friends for money,0,reversed,reversed_edge,three_way_probe
live a healthier lifestyle,purchase a selection of fruits,purchase a selection of vegetables,2,truly_parallel,proscript,three_way_probe
have fresh herbs to enjoy year-round,Buy pots for plants,Purchase seeds for herbs,2,truly_parallel,proscript,three_way_probe
learn to french braid,Go online with browser,Turn on computer,0,reversed,reversed_edge,three_way_probe
go on a cruise,pack bags and luggage needed,wait for the departure date,2,truly_parallel,proscript,three_way_probe
take a cruise,Search online for cruise package deals,Go online with a browser,0,reversed,reversed_edge,three_way_probe
learn how to make rice for months,fill pots and pans with gallons of water,measure portions according to rice instructions,1,confirmed,confirmed_edge,three_way_probe
live closer to nature,Close escrow on new home,Move belongings to new rural house,1,confirmed,confirmed_edge,three_way_probe
start an apple orchard,go to a local gardening store,purchase a shovel,1,confirmed,confirmed_edge,three_way_probe
go on a trip,Decide where to go.,Take time off work.,1,confirmed,confirmed_edge,three_way_probe
start a comic book,Decide on characters for the story,Decide on a setting,2,truly_parallel,proscript,three_way_probe
join the tennis team,Find someone to play tennis with,Buy tennis gear from a sporting goods store.,2,truly_parallel,proscript,three_way_probe
open a new catering hall,construct building plans,hire construction crew,1,confirmed,confirmed_edge,three_way_probe
wait for a bus,walk to the bus stop,collect the bus pass,0,reversed,reversed_edge,three_way_probe
crochet a scarf,Weave hook under yarn.,Weave desired pattern in this fashion.,1,confirmed,confirmed_edge,three_way_probe
learn to play tennis,learn about equipment needed,decide to learn how to play tennis,0,reversed,reversed_edge,three_way_probe
get into gardening,Buy tools at store,Buy local seeds at store,2,truly_parallel,proscript,three_way_probe
find some friends to relax with,send out messages to friends,provide invite to friends who are not busy,2,truly_parallel,proscript,three_way_probe
go school clothes shopping,park the car,walk to the mall entrance,1,confirmed,confirmed_edge,three_way_probe
escape from prison,Run through the tunnel and keep running,Dig a tunnel towards nearest place in the fence,0,reversed,reversed_edge,three_way_probe
learn to make pot pies,gather materials together,find potpie tutorial online,0,reversed,reversed_edge,three_way_probe
get a suit for an upcoming wedding,Pick out a few suites.,Look at the different suites.,0,reversed,reversed_edge,three_way_probe
mow the lawn today,make sure mower has enough gas,check that all the parts are still working,2,truly_parallel,proscript,three_way_probe
learn how to drive,Take the drivers test,Practice driving on back roads or parking lots,0,reversed,reversed_edge,three_way_probe
hire a new chef,put out a help wanted sign for chef,put out an ad for a new chef,0,reversed,reversed_edge,three_way_probe
go fishing anymore,Find a body of water nearby,Buy fishing equipment,2,truly_parallel,proscript,three_way_probe
throw the best Halloween party,purchase assorted scary decorations,purchase an assortment of candies,2,truly_parallel,proscript,three_way_probe
get a job delivering papers,create a resume,apply to newspaper jobs,1,confirmed,confirmed_edge,three_way_probe
learn how to make an apple pie,Gather ingredients listed in tutorial,Make pie according to steps in tutorial,1,confirmed,confirmed_edge,three_way_probe
buy a cheap pair of shoes,browse cheap shoes,drive to a cheap shoe store,0,reversed,reversed_edge,three_way_probe
run a half-marathon,Research good clothes to wear,Research how to train for a marathon,2,truly_parallel,proscript,three_way_probe
learn to whistle,Watch videos online about whistling,Ask people who know how to whistle,2,truly_parallel,proscript,three_way_probe
learn how to line dance,Watch other dancers,Sign up for a dance class,2,truly_parallel,proscript,three_way_probe
save enough money for a new car,Find the price of a new car online.,Figure out a way to cut expenses.,1,confirmed,confirmed_edge,three_way_probe
learn how to sew,drive home from fabric store,put sewing equipment on table,1,confirmed,confirmed_edge,three_way_probe
do over a hundred push ups,Get down on the floor.,Raise on hands and knees.,1,confirmed,confirmed_edge,three_way_probe
buy some headphones,look at the headphone reviews,watch a video review,2,truly_parallel,proscript,three_way_probe
plant seeds after the winter,sprinkle the seeds into the row,cover the seeds with dirt,1,confirmed,confirmed_edge,three_way_probe
make Kool Aid to cool down,put some ice into the pitcher,fill cups with the freshly prepared kool-aid,1,confirmed,confirmed_edge,three_way_probe
live a healthier lifestyle,throw out all the snack foods,throw out all the candy in the house,2,truly_parallel,proscript,three_way_probe
purchase new living room furniture,look up IKEA's hours online,put on shoes,2,truly_parallel,proscript,three_way_probe
throw the best Halloween party,purchase an assortment of candies,place a lighted jack-o-lantern on the porch,2,truly_parallel,proscript,three_way_probe
have fresh herbs to enjoy year-round,Purchase seeds for herbs,Buy pots for plants,2,truly_parallel,proscript,three_way_probe
learn how to speak Spanish,practice Spanish online,study Spanish lessons,2,truly_parallel,proscript,three_way_probe
sail the seven seas,look around for promising boat,drive to the marina,0,reversed,reversed_edge,three_way_probe
start a Babysitters Club like in the books,get permission from parents to use house,print out bright colored flyers,2,truly_parallel,proscript,three_way_probe
build a snowman,put on boots,put on coat,2,truly_parallel,proscript,three_way_probe
turn in a big project on Monday,Show up to school day of presentation,Compile ideas for project,0,reversed,reversed_edge,three_way_probe
go for a trip on an Amtrak train,Open a laptop,Find Amtrak website,1,confirmed,confirmed_edge,three_way_probe
do was hit a homerun,walk up to the plate,take a few practice swings,0,reversed,reversed_edge,three_way_probe
live a healthier lifestyle,throw out all the candy in the house,throw out all the snack foods,2,truly_parallel,proscript,three_way_probe
join a club,Find club hours.,Search the Internet for nearby club interests,0,reversed,reversed_edge,three_way_probe
compete in a Tough Mudder race,Sign up for the race.,Make sure spots are still open.,0,reversed,reversed_edge,three_way_probe
play pro basketball,Train up endurance,Work on basketball shots,2,truly_parallel,proscript,three_way_probe
know why religion was so controversial,use the internet to research,read books on religion,2,truly_parallel,proscript,three_way_probe
open a checking account,transfer money into checking account,order paper checks,2,truly_parallel,proscript,three_way_probe
have a house party,Clean the house,Select music for the party,2,truly_parallel,proscript,three_way_probe
work at a clothing store,Apply for jobs at retail stores,Create a resume,0,reversed,reversed_edge,three_way_probe
learn how to skateboard,watch tutorial videos,buy a skateboard,1,confirmed,confirmed_edge,three_way_probe
get more involved,be on the lookout for unexplained shifts in behavior,talk to the child's teachers,2,truly_parallel,proscript,three_way_probe
live a healthier lifestyle,purchase lean white meats,throw out all the snack foods,2,truly_parallel,proscript,three_way_probe
buy a dog,Start the car,Drive to the pound,1,confirmed,confirmed_edge,three_way_probe
know why religion was so controversial,read books on religion,write down information as learned,1,confirmed,confirmed_edge,three_way_probe
go mountain climbing,hire a guide and instructor,drive to the mountains,1,confirmed,confirmed_edge,three_way_probe
get their computers ready,Open each computer,Plug each computer in,2,truly_parallel,proscript,three_way_probe
get out of the basement,approach the exit way,find the doorknob,1,confirmed,confirmed_edge,three_way_probe
make some brownies,Use a beater to mix together the ingredients,Put the batter into a brownie pan,1,confirmed,confirmed_edge,three_way_probe
go into an abandoned asylum,walk into asylum,drive to asylum,0,reversed,reversed_edge,three_way_probe
learn to play the piano,Have a first lesson,Continue with lessons until playing becomes second nature,1,confirmed,confirmed_edge,three_way_probe
spend time outside,step out through the exit to the outside.,open the exit.,0,reversed,reversed_edge,three_way_probe
take a guy on a date,Ask someone to go out,Find out when to pick up,1,confirmed,confirmed_edge,three_way_probe
rent a movie for the evening,select the movie from the box,drive to a red box,0,reversed,reversed_edge,three_way_probe
make pasta with fresh mushrooms,turn on the stove,take out a cutting board and knife,2,truly_parallel,proscript,three_way_probe
switch into the electrical engineering program,look up requirements to be in electrical engeineering program,find the email for the electrical engineering program head,1,confirmed,confirmed_edge,three_way_probe
compare songs for a qualification,listen to that song,Load up one song,0,reversed,reversed_edge,three_way_probe
take tap dancing lessons,pick out a class,research local tap dance classes,0,reversed,reversed_edge,three_way_probe
find a new girlfriend,Filter through local profiles.,Determine desired partner attributes.,0,reversed,reversed_edge,three_way_probe
join the tennis team,Find someone to play tennis with,Find a good tennis court nearby,2,truly_parallel,proscript,three_way_probe
learn how to play the violin,Research violin teachers,buy a violin,2,truly_parallel,proscript,three_way_probe
buy some music equipment,Specify with music equipment,Change sort to highest rated,1,confirmed,confirmed_edge,three_way_probe
get a new car,negotiate a price,do a bunch of paperwork,1,confirmed,confirmed_edge,three_way_probe
go on the school field trip,Fill extra water bottle,Put in back pack,1,confirmed,confirmed_edge,three_way_probe
join the school marching band,Sign a waiver and pay a fee.,Practice playing the instrument.,1,confirmed,confirmed_edge,three_way_probe
learn how to play card games,Purchase a book regarding a specific card game,Purchase a set of cards,1,confirmed,confirmed_edge,three_way_probe
know why religion was so controversial,use the internet to research,watch movies on religion,2,truly_parallel,proscript,three_way_probe
learn to play an instrument,sign up for lessons,buy an instrument,0,reversed,reversed_edge,three_way_probe
plant an apple tree,shop for an apple tree,buy an apple tree,1,confirmed,confirmed_edge,three_way_probe
learn how to do gymnastics,Practice basics until mastered.,Enroll in class after talking to teacher.,0,reversed,reversed_edge,three_way_probe
get some lunch,Pull out leftovers,Locate the leftovers,0,reversed,reversed_edge,three_way_probe
go to the new movie,travel to the movie theater,buy movie tickets online,0,reversed,reversed_edge,three_way_probe
look more adult,put back unwanted clothes,purchase the clothing,1,confirmed,confirmed_edge,three_way_probe
learn to paint,Go to art store,Sign up for lessons,2,truly_parallel,proscript,three_way_probe
get to the grocery store,get a grocery cart,gather the grocery bags,2,truly_parallel,proscript,three_way_probe
attend gym today,Search the Internet for nearby gyms.,Compare gym prices.,1,confirmed,confirmed_edge,three_way_probe
get Chinese food,Decide what to order,Look at the menu,0,reversed,reversed_edge,three_way_probe
learn how to play the violin,practice that week,practice every day for a couple of years,1,confirmed,confirmed_edge,three_way_probe
order shoes online,Turn on computer,Connect to browser online,1,confirmed,confirmed_edge,three_way_probe
try out for the high school swim team,stand in line behind everyone,walk out to the pool,0,reversed,reversed_edge,three_way_probe
go mountain climbing,buy climbing gear,hire a guide and instructor,1,confirmed,confirmed_edge,three_way_probe
own a dog,look at the different dogs,pick a dog,1,confirmed,confirmed_edge,three_way_probe
bake some chocolate chip cookies,bake in an oven,place on tray 2 inches apart,0,reversed,reversed_edge,three_way_probe
win the lottery,pick numbers for the ticket,go home to wait for drawing,1,confirmed,confirmed_edge,three_way_probe
start a butterfly garden,Locate garden components on Amazon,Research components for butterfly garden.,0,reversed,reversed_edge,three_way_probe
find a wife,pay for woman to fly out to location,send a proposition to a woman,0,reversed,reversed_edge,three_way_probe
get more involved,be on the lookout for unexplained shifts in behavior,make time to eat together,2,truly_parallel,proscript,three_way_probe
own a dog,shop for pet food,shop for pet supplies,2,truly_parallel,proscript,three_way_probe
go for a boat ride,drive to the lake,secure the trailer to driving vehicle (truck),0,reversed,reversed_edge,three_way_probe
learn to cook,Receive book in the mail,Purchase the book,0,reversed,reversed_edge,three_way_probe
make pasta with fresh mushrooms,take out a cutting board and knife,turn on the stove,2,truly_parallel,proscript,three_way_probe
get into gardening,Buy local seeds at store,Buy tools at store,2,truly_parallel,proscript,three_way_probe
see a new movie,drive to the theater,order tickets online,0,reversed,reversed_edge,three_way_probe
live a healthier lifestyle,throw out all the snack foods,purchase a selection of fruits,2,truly_parallel,proscript,three_way_probe
buy a book,Take the receipt from the cashier,Wait for the money to be deposited and change returned,0,reversed,reversed_edge,three_way_probe
do research about dolphins,go to the local library,use the internet to search,2,truly_parallel,proscript,three_way_probe
order Chinese food,Decide what everyone wants,Look at menu,0,reversed,reversed_edge,three_way_probe
learn how to do parkour,learn new parkour skills with group,go to the gym and practice skills,0,reversed,reversed_edge,three_way_probe
do a mac & cheese,drain macaroni noodles,boil macaroni noodles,0,reversed,reversed_edge,three_way_probe
save enough money for a new car,Drive to the car lot with cash in the bank.,Count the savings in the bank account.,0,reversed,reversed_edge,three_way_probe
attract more customers,Research new marketing tactics.,Put together ads for customer attraction.,1,confirmed,confirmed_edge,three_way_probe
write a book,Send to editor for suggestions and make revisions,Have the book published,2,truly_parallel,proscript,three_way_probe
get a new pair of shoes,drive to the store,find a store with the shoes,0,reversed,reversed_edge,three_way_probe
buy new clothes for the winter,Search the store for winter cloth,Go to nearest clothing store,0,reversed,reversed_edge,three_way_probe
go to a new restaurant for the first time,Go to the car,Drive to the restaurant,1,confirmed,confirmed_edge,three_way_probe
work at a ramen shop,Write a resume,Submit resume and cover letter to the ramen shop,1,confirmed,confirmed_edge,three_way_probe
give back to the world,volunteer to get donations for social causes,volunteer for eco friendly organizations,2,truly_parallel,proscript,three_way_probe
go to a new club everyone was talking about,Get into and start vehicle,Input directions into phone for gps,0,reversed,reversed_edge,three_way_probe
give back to the world,volunteer to get donations for social causes,regularly donate to charities,2,truly_parallel,proscript,three_way_probe
learn to make pot pies,turn on the oven,gather materials together,2,truly_parallel,proscript,three_way_probe
see the whole universe,Travel into space via spaceship,Travel from planet to planet,1,confirmed,confirmed_edge,three_way_probe
adopt a puppy,browse the dogs for adoption,fill out adoption form,1,confirmed,confirmed_edge,three_way_probe
modify a file with comma separated data,Turn on the computer.,Open the program.,1,confirmed,confirmed_edge,three_way_probe
take up boxing so bad,Meet with trainer.,Travel to gym.,0,reversed,reversed_edge,three_way_probe
escape from prison,Steal a spoon from the cafeteria,Get the plans for the prison,2,truly_parallel,proscript,three_way_probe
learn to make pot pies,gather materials together,make the potpies,1,confirmed,confirmed_edge,three_way_probe
go to an aerospace museum,Order aerospace museum tickets.,Drive to the museum.,1,confirmed,confirmed_edge,three_way_probe
know why religion was so controversial,ask friends and family for opinions and thoughts,watch movies on religion,2,truly_parallel,proscript,three_way_probe
lose 20 pounds before summer,Practice healthy eating,Go buy healthy food,0,reversed,reversed_edge,three_way_probe
buy a guitar,Drive to guitar shop,Save up money,0,reversed,reversed_edge,three_way_probe
go on a rollercoaster,Order tickets online.,Pick a day to go.,0,reversed,reversed_edge,three_way_probe
go to work,brush teeth and wash up,get dressed for work,2,truly_parallel,proscript,three_way_probe
make chicken curry,find the spice aisle,get some fresh chicken,2,truly_parallel,proscript,three_way_probe
take a cruise to the Caribbean,buy tickets for the cruise,decide on a cruise,0,reversed,reversed_edge,three_way_probe
work at a bank,get the call for the interview,fill out the online application,0,reversed,reversed_edge,three_way_probe
get out of town this past weekend,book a hotel,put gasoline in car,2,truly_parallel,proscript,three_way_probe
buy some ice cream,go to the store,look up options in menu,1,confirmed,confirmed_edge,three_way_probe
plant a tomato plant,Purchase tomato seedling.,Return to home.,1,confirmed,confirmed_edge,three_way_probe
start a butterfly garden,Locate garden components on Amazon,Order garden components online.,1,confirmed,confirmed_edge,three_way_probe
make some bath soap last week,prepare a workspace,mix ingredients together,1,confirmed,confirmed_edge,three_way_probe
start teaching piano lessons,buy a piano,read articles on the piano,2,truly_parallel,proscript,three_way_probe
get a portrait done,Call up photo company,Check white pages for local photo studios,0,reversed,reversed_edge,three_way_probe
play with dolls,purchase the dolls,take the dolls home,1,confirmed,confirmed_edge,three_way_probe
build a snowman,put on gloves,put on boots,2,truly_parallel,proscript,three_way_probe
visit the beach,Pack a beach bag with supplies.,Pack a cooler of drinks and snacks.,2,truly_parallel,proscript,three_way_probe
have a house party,Shop for  refreshments,Select music for the party,2,truly_parallel,proscript,three_way_probe
learn how to bake a loaf of bread,Find a recipe in the book.,Buy a book on bread making.,0,reversed,reversed_edge,three_way_probe
start a comic book,Decide on a setting,Write an outline for the story,1,confirmed,confirmed_edge,three_way_probe
learn figure drawing,Find a pencil,Obtain blank paper,2,truly_parallel,proscript,three_way_probe
bake some chocolate cookies,find a large mixing spoon,gather all ingredients together,2,truly_parallel,proscript,three_way_probe
build a snowman,walk outside into the yard,put on boots,0,reversed,reversed_edge,three_way_probe
go wilderness camping,gather camping supplies,purchase a tent,0,reversed,reversed_edge,three_way_probe
lose a few pounds over the summer,get scale out of bathroom,weigh yourself with scale,1,confirmed,confirmed_edge,three_way_probe
start a butterfly garden,Plant flowers and assemble other garden components.,Receive garden items in mail.,0,reversed,reversed_edge,three_way_probe
start a company,Decide the company's field,Decide on a company name,2,truly_parallel,proscript,three_way_probe
help raise money for public television,"Spend the day engaging in fundraising techniques, like phone banking",Turn all donations over to the station,1,confirmed,confirmed_edge,three_way_probe
escape from prison,Dig a tunnel towards nearest place in the fence,Steal a spoon from the cafeteria,0,reversed,reversed_edge,three_way_probe
prepare for the storm that was coming,go to store,watch the weather channel,0,reversed,reversed_edge,three_way_probe
buy a book,Wait for the cashier to ring up the book,Hand the book to a cashier,0,reversed,reversed_edge,three_way_probe
start a company,Obtain startup funding,Decide the company's field,0,reversed,reversed_edge,three_way_probe
see a big movie premier,Get in line at the ticket counter,Drive to the movie theater,0,reversed,reversed_edge,three_way_probe
eat a quick dinner,take peanut butter out of the pantry,take a knife out,2,truly_parallel,proscript,three_way_probe
look good for a dance,Put on underwear,Dry and style hair,2,truly_parallel,proscript,three_way_probe
go see the new movie in town,Put on hat and coat,Pick out a movie that is new,0,reversed,reversed_edge,three_way_probe
work at a clothing store,Go on an interview,Apply for jobs at retail stores,0,reversed,reversed_edge,three_way_probe
learn how to breakdance,Look up breakdance tutorials online,Put on comfortable clothes,2,truly_parallel,proscript,three_way_probe
make chicken curry,get some fresh chicken,go to the produce department,2,truly_parallel,proscript,three_way_probe
buy a video game,search for the video game,go to the store website,0,reversed,reversed_edge,three_way_probe
play basketball throughout high school,attend ball practice after school,practice at home,2,truly_parallel,proscript,three_way_probe
do over a hundred push ups,Lower to the floor.,Raise on hands and knees.,0,reversed,reversed_edge,three_way_probe
cook Thanksgiving dinner,shut the oven door,wait for turkey to cook,1,confirmed,confirmed_edge,three_way_probe
borrow a pencil from the teacher,Take the pencil and thank the teacher,Wait for the teacher to bring a pencil,0,reversed,reversed_edge,three_way_probe
order Chinese food,Look at menu,Decide what everyone wants,1,confirmed,confirmed_edge,three_way_probe
open a savings account,Grab an ID,Drive to the bank,1,confirmed,confirmed_edge,three_way_probe
go on a helicopter ride,Purchase a ticket in advance,Drive to the airport with helicopter,1,confirmed,confirmed_edge,three_way_probe
learn to bake a cake,Search for baking cakes.,Choose a popular video.,1,confirmed,confirmed_edge,three_way_probe
run a marathon,Put on shoes,Wait for race day,0,reversed,reversed_edge,three_way_probe
learn to back flip,Practice doing back flips.,Set the item up when upon arrival.,0,reversed,reversed_edge,three_way_probe
throw the best Halloween party,print out invitations on festive paper,purchase an assortment of candies,2,truly_parallel,proscript,three_way_probe
crochet a scarf,Hold crochet hook in hand.,Thread yarn through hook.,1,confirmed,confirmed_edge,three_way_probe
go the hockey game,buy tickets online,search for tickets online,0,reversed,reversed_edge,three_way_probe
see SNL while in NYC,Look up SNL showtimes,Order a ticket,1,confirmed,confirmed_edge,three_way_probe
create a video game,Learn to use a language that is used in games,Learn to use an existing game engine,2,truly_parallel,proscript,three_way_probe
have fresh herbs to enjoy year-round,Buy pots for plants,Purchase Soil for the pot,2,truly_parallel,proscript,three_way_probe
see a new movie that came out,park at the movie theater,get snacks on the way,0,reversed,reversed_edge,three_way_probe
make something special for dinner,drive home from the store,buy ingredients for dinner,0,reversed,reversed_edge,three_way_probe
sing songs for a living,take voice lessons,go to college for music,2,truly_parallel,proscript,three_way_probe
try something new,Search for local hobbies and activities.,Access the Google search engine.,0,reversed,reversed_edge,three_way_probe
throw a party,invite guests to party,gather food for party,1,confirmed,confirmed_edge,three_way_probe
see the banana plantations,Turn on the computer,Search the Internet for nearby plantations,1,confirmed,confirmed_edge,three_way_probe
buy a bike for a long time,Unpack the bike,Test the bike out to make sure it's good,1,confirmed,confirmed_edge,three_way_probe
go on a scavenger hunt,Note the time and dates.,Search for local scavenger hunts.,0,reversed,reversed_edge,three_way_probe
get some lunch,Pull out leftovers,Microwave the leftovers,1,confirmed,confirmed_edge,three_way_probe
find a wife,visit social media sites like Facebook and Instagram,choose which woman to marry,1,confirmed,confirmed_edge,three_way_probe
see Metallica live in concert,drive to venue,wait for show to start,1,confirmed,confirmed_edge,three_way_probe
have a pet cat,Go to the animal shelter,Pick out a cat,1,confirmed,confirmed_edge,three_way_probe
find some friends to relax with,provide invite to friends who are not busy,send out messages to friends,2,truly_parallel,proscript,three_way_probe
plant a tomato plant,Go to nursery,Purchase potting soil and a pot.,1,confirmed,confirmed_edge,three_way_probe
get away for a weekend,Check in local hotel.,Experience travel location.,1,confirmed,confirmed_edge,three_way_probe
compete in a race,Train for the race.,Sign the waiver and pay the fee.,0,reversed,reversed_edge,three_way_probe
cook something good,Make a list of ingredients needed,Look up a recipe online,0,reversed,reversed_edge,three_way_probe
start a butterfly garden,Plant flowers and assemble other garden components.,Wait for flowers to bloom/attract butterflies.,1,confirmed,confirmed_edge,three_way_probe
