goal,a,b,label,edge_type,source
get out of the house,Turn the handle,Open the  door,1,confirmed,confirmed_edge
make some cookies,Mix ingredients together into cookie dough,Scoop cookie dough onto cookie tray,1,confirmed,confirmed_edge
form a gang,find a people from same side of the tracks,find a bunch of friends with the same creed,2,flexible,incomparable_pair
start a butterfly garden,Receive garden items in mail.,Plant flowers and assemble other garden components.,1,confirmed,confirmed_edge
know why religion was so controversial,read news articles about religion,ask friends and family for opinions and thoughts,2,flexible,incomparable_pair
go back to school,Buy books needed,Get list of books needed,0,reversed,reversed_edge
start a comic book,Write an outline for the story,Write the story and dialog,1,confirmed,confirmed_edge
learn more about human anatomy,sit down in a chair at the table,take the book to a table,0,reversed,reversed_edge
get a flu shot,Fill out paperwork.,Drive to the clinic.,0,reversed,reversed_edge
make extra cash,post the listings online,take pictures of the items,0,reversed,reversed_edge
learn how to bake a loaf of bread,Buy ingredients for chosen recipe.,Follow recipe to make bread.,1,confirmed,confirmed_edge
go to the swap shop,pick out the best shop,pull up directions to shop,1,confirmed,confirmed_edge
play the trombone,put sheet music on music stand,hold trombone up to lips,1,confirmed,confirmed_edge
go on a scavenger hunt,Search for local scavenger hunts.,Open a web browser.,0,reversed,reversed_edge
go for a drive,drive home from location,go for a drive to the location,0,reversed,reversed_edge
get out of the basement,approach the exit way,find the doorknob,1,confirmed,confirmed_edge
build a bridge to cross a stream in a park,Transport materials to the site,Buy materials to build the bridge,0,reversed,reversed_edge
buy some music equipment,Specify with music equipment,Change sort to highest rated,1,confirmed,confirmed_edge
play video games,Set up gaming system upon arrival.,Order games and gaming system online.,0,reversed,reversed_edge
play the piano,find sheet music to play,set up the sheet music,1,confirmed,confirmed_edge
get in better shape,do exercises off the list each day,buy the healthy foods each week,2,flexible,incomparable_pair
see the natural beauty of Maine,drive toward Maine,drive around the state of Maine,1,confirmed,confirmed_edge
get in better shape,tape the paper with the regime to the fridge,buy the healthy foods each week,2,flexible,incomparable_pair
write a book,Have the book published,Send to editor for suggestions and make revisions,2,flexible,incomparable_pair
start a Babysitters Club like in the books,purchase snacks for the kids,call friends together with invitations,2,flexible,incomparable_pair
have fresh herbs to enjoy year-round,Purchase Soil for the pot,Purchase seeds for herbs,2,flexible,incomparable_pair
get a brand new TV,drive to an electronics store,look at reviews for televisions,2,flexible,incomparable_pair
learn to whistle,Purse lips together and blow,Apply chapstick to dry lips,0,reversed,reversed_edge
get more involved,be ready to listen all the time,make time to eat together,2,flexible,incomparable_pair
wake up early to go fishing,Take a shower to sleep better,Head to bed,1,confirmed,confirmed_edge
learn to play the drums,Watch lessons online.,Practice at home.,1,confirmed,confirmed_edge
get across town to the store,put on left shoe,put on right shoe,2,flexible,incomparable_pair
make some Popsicles,gather ingredients in kitchen,mix ingredients together,1,confirmed,confirmed_edge
know why religion was so controversial,talk to local authorities on the matter,read news articles about religion,2,flexible,incomparable_pair
start taking a lunch to school,place lunch in refrigeration,Pack lunch once finish cooking,0,reversed,reversed_edge
work at a clothing store,Apply for jobs at retail stores,Create a resume,0,reversed,reversed_edge
learn how to rock climb,drive to the rock climbing gym,listen to the instructor,1,confirmed,confirmed_edge
check out a new book from the library,choose a book of interest,browse books in library,0,reversed,reversed_edge
buy a guitar,Drive to guitar shop,Save up money,0,reversed,reversed_edge
get away for a weekend,Experience travel location.,Check in local hotel.,0,reversed,reversed_edge
take up boxing so bad,Determine nearby gyms.,Pick gym that has boxing instructor.,1,confirmed,confirmed_edge
order shoes online,Turn on computer,Connect to browser online,1,confirmed,confirmed_edge
teach horseback riding,Sign up people for the class,Schedule a time,0,reversed,reversed_edge
run a marathon,Put on shoes,Wait for race day,0,reversed,reversed_edge
learn to cook,Purchase the book,Receive book in the mail,1,confirmed,confirmed_edge
create a video game,Learn to use a language that is used in games,Learn the basics of programming,0,reversed,reversed_edge
make a smoothie,Take the ingredients home,Put ingredients in a blender,1,confirmed,confirmed_edge
give a new toy,Travel to a store,Figure out which toys the person already has,0,reversed,reversed_edge
see a new movie that was coming out,Check movie times,Search for local movie theaters,0,reversed,reversed_edge
use social media,Open and use facebook,Download Facebook from store,0,reversed,reversed_edge
impress a group of popular girls at school,Find out where the popular girls hang out.,Research popular girl interests.,2,flexible,incomparable_pair
start to eat healthy,research healthy diets,pick out a new diet,1,confirmed,confirmed_edge
learn to play a new instrument,go online to research new instruments,buy a new instrument,1,confirmed,confirmed_edge
have a family dinner,Purchase groceries for dinner,Drive to grocery store,0,reversed,reversed_edge
get a job delivering papers,create a resume,browse craigslist for a job,2,flexible,incomparable_pair
work at a bank,get the call for the interview,drive to the bank,1,confirmed,confirmed_edge
start an apple orchard,dig shallow holes,purchase apple seeds,0,reversed,reversed_edge
find some friends to relax with,see which friends respond,confirm details with friends,1,confirmed,confirmed_edge
go to work,grab briefcase and car keys and lock house,brush teeth and wash up,0,reversed,reversed_edge
take a cruise,Search online for cruise package deals,Go online with a browser,0,reversed,reversed_edge
try investing money,create a new account,find items to invest in,2,flexible,incomparable_pair
learn how to speak Spanish,study Spanish lessons,practice Spanish online,2,flexible,incomparable_pair
go back to school,Go to store and buy school supplies,Buy books needed,2,flexible,incomparable_pair
make some wine,Let the container sit for weeks,siphon liquid into bottles,1,confirmed,confirmed_edge
throw the best Halloween party,hang up the scary decorations,purchase an assortment of candies,2,flexible,incomparable_pair
make some wine,Buy some grapes,Smash and strain grapes into container,1,confirmed,confirmed_edge
start a Babysitters Club like in the books,get permission from parents to use house,print out bright colored flyers,2,flexible,incomparable_pair
bench press two hundred pounds,work out with weights every other day for three months,set up weight bench in basement,0,reversed,reversed_edge
plant an apple tree,buy an apple tree,shop for an apple tree,0,reversed,reversed_edge
throw a party,gather party supplies,set up party food and decor,1,confirmed,confirmed_edge
wake up early to go fishing,Set alarm for early morning,Take a shower to sleep better,2,flexible,incomparable_pair
go in the navy,Call a recruiter,Set an appointment,1,confirmed,confirmed_edge
play football after school,Walk to football field,Pick team captains,1,confirmed,confirmed_edge
go on a vacation in another country,Figure out which country to visit,Research the country,1,confirmed,confirmed_edge
give up chocolate for Lent,Pray and abstain from chocolate,Talk with the priest.,0,reversed,reversed_edge
go on a hike,Get in the car,Put on hiking boots,0,reversed,reversed_edge
take up golfing,See what the operational hours are.,Drive to a local golf store.,2,flexible,incomparable_pair
get more involved,be on the lookout for unexplained shifts in behavior,make time to eat together,2,flexible,incomparable_pair
learn how to play the violin,Contact a violin teacher and schedule a lesson,buy a violin,2,flexible,incomparable_pair
get in better shape,make a list of healthy foods,do exercises off the list each day,2,flexible,incomparable_pair
take a nap,Lay down on couch.,Shut eyes to rest.,1,confirmed,confirmed_edge
have a family dinner,Invite family inside,Drive home from store,2,flexible,incomparable_pair
go on a helicopter ride,Walk to staging area for getting on helicopter,Sit inside helicopter until flight is over,1,confirmed,confirmed_edge
eat some french fries,drive home from the store,pre-heat the oven,1,confirmed,confirmed_edge
buy some music equipment,Search for music equipment,Go to Amazon.com,0,reversed,reversed_edge
make pasta with fresh mushrooms,take out a cutting board and knife,turn on the stove,2,flexible,incomparable_pair
bake some chocolate cookies,find a large mixing spoon,find a large mixing bowl,2,flexible,incomparable_pair
go on a vacation in another country,Update passport and vaccines,Research the country,0,reversed,reversed_edge
start a butterfly garden,Locate garden components on Amazon,Order garden components online.,1,confirmed,confirmed_edge
look good for a dance,Put on makeup,Put on a nice dress,2,flexible,incomparable_pair
know why religion was so controversial,ask friends and family for opinions and thoughts,read news articles about religion,2,flexible,incomparable_pair
wear a shirt,walk towards the closet,go through the shirts,1,confirmed,confirmed_edge
work at a ramen shop,Write a cover letter,Write a resume,2,flexible,incomparable_pair
prepare for the storm that was coming,go to store,watch the weather channel,0,reversed,reversed_edge
take up golfing,Drive to a local golf store.,Search online for local golf courses.,2,flexible,incomparable_pair
make some cookies,Set cookie tray with parchment paper,Scoop cookie dough onto cookie tray,1,confirmed,confirmed_edge
have a family dinner,Drive to grocery store,Call family members,2,flexible,incomparable_pair
get across town to the store,find socks and shoes,put on left sock,1,confirmed,confirmed_edge
start a book club,Pick a time and a place to meet every week.,Pick out a book to read each week.,2,flexible,incomparable_pair
buy a motorcycle,test drive bike at dealership,find dealerships with that motorcycle,0,reversed,reversed_edge
buy a purple blouse,find a store close that has the blouse,drive to the store,1,confirmed,confirmed_edge
have a house party,Make a list of potential guests,Clean the house,2,flexible,incomparable_pair
learn how to sew,drive home from fabric store,put sewing equipment on table,1,confirmed,confirmed_edge
try to skateboard,Unpack skateboard package.,Take skateboard outside.,1,confirmed,confirmed_edge
buy a new pair of earrings,pay for the best earrings,try on earrings,0,reversed,reversed_edge
play the trombone,remove trombone from the case,put sheet music on music stand,2,flexible,incomparable_pair
live a healthier lifestyle,throw out all the snack foods,purchase a selection of fruits,2,flexible,incomparable_pair
see a rainbow,go outside when the sun comes back out,look where the clouds and sun meet,1,confirmed,confirmed_edge
get into gardening,Buy local seeds at store,Buy tools at store,2,flexible,incomparable_pair
learn how to make a katana,Research katana crafting online,Review materials needed,1,confirmed,confirmed_edge
start a record label,look online at the county's web site,decide on a record label name,0,reversed,reversed_edge
buy a new television,look at the reviews on the website,find the best price for a particular television,0,reversed,reversed_edge
go in the navy,Receive a start date,Wait for start date,1,confirmed,confirmed_edge
get across town to the store,find socks and shoes,put on right sock,1,confirmed,confirmed_edge
start a record label,look online at the county's web site,register as a business,1,confirmed,confirmed_edge
see what life was like up north,Look for jobs up north,Get new job up north,1,confirmed,confirmed_edge
buy a guitar,Try out guitars,Choose which one is best,1,confirmed,confirmed_edge
make some brownies,Use a beater to mix together the ingredients,Put the batter into a brownie pan,1,confirmed,confirmed_edge
find some friends to relax with,send out messages to friends,provide invite to friends who are not busy,2,flexible,incomparable_pair
play with dolls,purchase the dolls,take the dolls home,1,confirmed,confirmed_edge
plant a tomato plant,Go to nursery,Purchase potting soil and a pot.,1,confirmed,confirmed_edge
give up chocolate for Lent,Pray and abstain from chocolate,Make a pact with family to stick to the plan.,2,flexible,incomparable_pair
go to a live music venue,Find appropriate clothing to wear.,Go online and purchase tickets for the event.,0,reversed,reversed_edge
make some Popsicles,put sticks in Popsicles,mix ingredients together,0,reversed,reversed_edge
buy a denim jacket,pick out the best denim jacket,shop for denim jackets,0,reversed,reversed_edge
look good for a dance,Dry and style hair,Put on a nice dress,2,flexible,incomparable_pair
have a family dinner,Purchase groceries for dinner,Invite family to dinner,2,flexible,incomparable_pair
go to the library downtown,check the bus schedule online,check the library's hours online,2,flexible,incomparable_pair
have a nerf gun war,collect the spent toys and put away,shoot at anyone passing by,0,reversed,reversed_edge
make a robot,Purchase the equipment,Receive equipment through the mail,1,confirmed,confirmed_edge
put away some blocks,Place bin near blocks,Push blocks into a pile,2,flexible,incomparable_pair
have fresh herbs to enjoy year-round,Purchase seeds for herbs,Buy pots for plants,2,flexible,incomparable_pair
go on a helicopter ride,Purchase a ticket in advance,Drive to the airport with helicopter,1,confirmed,confirmed_edge
go to the store,put on shoes,make a list of things to buy,2,flexible,incomparable_pair
start teaching piano lessons,read articles on the piano,become an expert on the piano,2,flexible,incomparable_pair
have a family dinner,Drive home from store,Purchase groceries for dinner,0,reversed,reversed_edge
throw a party,gather party supplies,gather food for party,2,flexible,incomparable_pair
wait for a bus,Lookup the bus needed to get there online,Buy a bus pass,2,flexible,incomparable_pair
have a birthday party,decide on a location for the party,invite people to the party,2,flexible,incomparable_pair
scuba dive in caves,enter underwater caves,dive into the water,0,reversed,reversed_edge
make chicken curry,put the ingredients on the counter,drive back home,0,reversed,reversed_edge
have a house party,Invite people to the party,Shop for  refreshments,2,flexible,incomparable_pair
know why religion was so controversial,ask friends and family for opinions and thoughts,talk to local authorities on the matter,2,flexible,incomparable_pair
learn how to make rice for months,buy 10 pounds of rice,go to the store,0,reversed,reversed_edge
make chicken curry,get some fresh chicken,go to the produce department,2,flexible,incomparable_pair
join a club,Sit through the meeting.,"If still interested, ask to join.",1,confirmed,confirmed_edge
get across town to the store,put on right shoe,put on left shoe,2,flexible,incomparable_pair
go bike riding,take bike out of garage,open garage door,0,reversed,reversed_edge
know why religion was so controversial,read news articles about religion,talk to local authorities on the matter,2,flexible,incomparable_pair
get to the grocery store,gather the grocery bags,drive to the grocery store,0,reversed,reversed_edge
see a football game,Buy tickets to the game,Drive to the game,1,confirmed,confirmed_edge
have a family dinner,Call family members,Invite family to dinner,1,confirmed,confirmed_edge
know why religion was so controversial,use the internet to research,read books on religion,2,flexible,incomparable_pair
learn to make pot pies,gather materials together,find potpie tutorial online,0,reversed,reversed_edge
learn how to do a cartwheel,go into a wide open area,watch instructional videos of how to do a cartwheel,0,reversed,reversed_edge
have a family dinner,Prepare meal using groceries,Invite family inside,2,flexible,incomparable_pair
compare songs for a qualification,Locate directory with songs,open song playing software,0,reversed,reversed_edge
bake some chocolate cookies,gather all ingredients together,find a large mixing spoon,2,flexible,incomparable_pair
throw the best Halloween party,place a lighted jack-o-lantern on the porch,place bowls of candy out around the house,2,flexible,incomparable_pair
join a club,Drive to the next meeting.,Sit through the meeting.,1,confirmed,confirmed_edge
borrow a pencil from the teacher,Take the pencil and thank the teacher,Wait for the teacher to bring a pencil,0,reversed,reversed_edge
make pasta with fresh mushrooms,put two pots on the stove,turn on the stove,2,flexible,incomparable_pair
take a trip to the beach,Park car at beach lot.,Drive to beach.,0,reversed,reversed_edge
build a snowman,put on gloves,put on boots,2,flexible,incomparable_pair
go on a cruise,pick a cruise to attend,search online for cruises,0,reversed,reversed_edge
learn to ride a horse,find nearby stables,sign up for lessons,1,confirmed,confirmed_edge
have a sleepover,pick up cellphone,call friends and invite to sleepover,1,confirmed,confirmed_edge
go to a party that weekend,try on outfits,choose an outfit,1,confirmed,confirmed_edge
get more involved,plan activities together,ask questions about the child's day,2,flexible,incomparable_pair
speak a lot of languages,Wait for delivery,Open and unpack books,1,confirmed,confirmed_edge
compare songs for a qualification,Load up one song,Locate directory with songs,0,reversed,reversed_edge
learn how to play the guitar,watch video lessons,Get guitar out,2,flexible,incomparable_pair
make Kool Aid to cool down,fill cups with the freshly prepared kool-aid,put some ice into the pitcher,0,reversed,reversed_edge
sleep on the back porch,clear out a sleeping space,say goodnight to everyone,1,confirmed,confirmed_edge
start taking a lunch to school,Pack lunch once finish cooking,prepare and cook meal at home,0,reversed,reversed_edge
buy a new doll from the store,walk to the car,drive to the store,1,confirmed,confirmed_edge
get a flu shot,Fill out paperwork.,Wait in the office.,1,confirmed,confirmed_edge
make more money,Put in applications to places hiring.,Determine which jobs qualified for.,0,reversed,reversed_edge
try investing money,go on to the internet,search for an investment website,1,confirmed,confirmed_edge
learn how to breakdance,Practice the moves,Find a large space to dance in,0,reversed,reversed_edge
raise money for their school club,Find out how much money the club needs.,Think of fundraising ideas.,1,confirmed,confirmed_edge
start a book club,Find some friends who like books.,Tell the friends to join book club.,1,confirmed,confirmed_edge
cook something good,Make a list of ingredients needed,Look up a recipe online,0,reversed,reversed_edge
try to skateboard,Wait for skateboard to arrive.,Unpack skateboard package.,1,confirmed,confirmed_edge
win the lottery,pick numbers for the ticket,go home to wait for drawing,1,confirmed,confirmed_edge
see who can cook better wings,Setting a friendly bet with wife,Go to the market,1,confirmed,confirmed_edge
go fishing anymore,Buy fishing equipment,Wait for a nice day to go fishing,2,flexible,incomparable_pair
buy a new television,look at the reviews on the website,add television to cart,1,confirmed,confirmed_edge
make extra cash,take pictures of the items,organize the items,0,reversed,reversed_edge
replace a closet door,Remove old door,Gather tools needed,0,reversed,reversed_edge
learn how to rock climb,look online for rock climbing gyms,sign up for beginner's rock climbing,1,confirmed,confirmed_edge
make homemade potato chips,soak the potatoes in water,dry potato slices,1,confirmed,confirmed_edge
learn to whistle,Purse lips together and blow,Practice trying to whistly,1,confirmed,confirmed_edge
buy a skeleton,locate the skeletons.,Go to the store.,0,reversed,reversed_edge
write a book,Pick the topic to write about.,Create the main characters.,1,confirmed,confirmed_edge
get some lunch,Pull out leftovers,Microwave the leftovers,1,confirmed,confirmed_edge
own a boat,Travel to a merchant who sells boats,Accumulate resources to pay for the purchase of a boat.,0,reversed,reversed_edge
start a comic book,Think of an idea for a story,Decide on a setting,2,flexible,incomparable_pair
eat Chinese food,Wait for food to come.,Eat the food.,1,confirmed,confirmed_edge
live debt free,Cut back spending on unnecessary items,"Account for every penny you're spending, daily",0,reversed,reversed_edge
have a nerf gun war,take nerf guns out of the closet,take nerf gun ammo out of the closet,2,flexible,incomparable_pair
learn how to garden,Read the gardening books.,Select a spot for the garden.,1,confirmed,confirmed_edge
build a giant snowman,Put the scarf around the connection between the balls,Put carrot and rocks in center of the small ball,2,flexible,incomparable_pair
win a contest,wait for results,send in entry forms,0,reversed,reversed_edge
learn to play tennis,learn about equipment needed,decide to learn how to play tennis,0,reversed,reversed_edge
plant a tomato plant,Purchase potting soil and a pot.,Purchase tomato seedling.,2,flexible,incomparable_pair
buy a dog,Pick out a dog,Drive to the pound,0,reversed,reversed_edge
play pro basketball,Gain recognition for skills,Work on basketball shots,0,reversed,reversed_edge
run a half-marathon,Find out when a half-marathon is happening,Research good clothes to wear,1,confirmed,confirmed_edge
see the natural beauty of Maine,take time off from work,buy road map of Maine,1,confirmed,confirmed_edge
learn to dance in time for prom,Go to a few more classes and learn more,Start learning basic moves,0,reversed,reversed_edge
know why religion was so controversial,ask friends and family for opinions and thoughts,use the internet to research,2,flexible,incomparable_pair
sit in the front seat of the car,unlock the car door,open the car door,1,confirmed,confirmed_edge
learn how to play the guitar,Get guitar out,Press down strings,1,confirmed,confirmed_edge
do research about dolphins,read books on dolphins,use the internet to search,2,flexible,incomparable_pair
lose 20 pounds before summer,Practice healthy eating,Go buy healthy food,0,reversed,reversed_edge
get in better shape,tape the paper with the regime to the fridge,do exercises off the list each day,1,confirmed,confirmed_edge
get another book from the library,get library card,decide which book to borrow,1,confirmed,confirmed_edge
sing songs for a living,take voice lessons,go to college for music,2,flexible,incomparable_pair
crochet a scarf,Hold crochet hook in hand.,Thread yarn through hook.,1,confirmed,confirmed_edge
throw the best Halloween party,place a lighted jack-o-lantern on the porch,purchase an assortment of candies,2,flexible,incomparable_pair
go to a concert,Shower and dress up for the event.,Drive to concert hall.,1,confirmed,confirmed_edge
have a dog,Drive to a dog pound,Look at the dogs,1,confirmed,confirmed_edge
get a brand new TV,look at reviews for televisions,look through the selection of TVs,2,flexible,incomparable_pair
make homemade pizza,put out ingredients,purchase ingredients for pizza,0,reversed,reversed_edge
play basketball throughout high school,practice at home,attend ball practice after school,2,flexible,incomparable_pair
help raise money for public television,Sign up for an event,Drive to the event,1,confirmed,confirmed_edge
cut down our own tree,Put on protective eyewear,Pick up a chainsaw,1,confirmed,confirmed_edge
buy a bike for a long time,Wait for the bike to be delivered,Unpack the bike,1,confirmed,confirmed_edge
start an apple orchard,purchase a long hose,go to a local gardening store,0,reversed,reversed_edge
go on a trip to Spain,drive to the airport,pack the clothes,0,reversed,reversed_edge
go see the new movie that just came out,present tickets to usher,drive to theater,0,reversed,reversed_edge
buy an XBox 1,research the different consoles,look for the best price,1,confirmed,confirmed_edge
get another book from the library,get library card,drive to library,0,reversed,reversed_edge
buy some music equipment,Go to Amazon.com,Search for music equipment,1,confirmed,confirmed_edge
adopt a cat from the animal shelter,drive to the animal shelter,buy cat carrier,0,reversed,reversed_edge
learn how to line dance,Go to the dance class,Watch other dancers,2,flexible,incomparable_pair
learn how to do gymnastics,Enroll in class after talking to teacher.,Travel to gym class.,0,reversed,reversed_edge
go for a trip on an Amtrak train,Print out tickets,Buy the tickets,0,reversed,reversed_edge
learn how to play card games,Purchase a book regarding a specific card game,Purchase a set of cards,1,confirmed,confirmed_edge
start a Babysitters Club like in the books,call friends together with invitations,print out bright colored flyers,2,flexible,incomparable_pair
go apple picking,Pay to pick apples,Drive to apple orchard,0,reversed,reversed_edge
throw the best Halloween party,place bowls of candy out around the house,print out invitations on festive paper,2,flexible,incomparable_pair
join the tennis team,Find a good tennis court nearby,Find someone to play tennis with,2,flexible,incomparable_pair
learn how to garden,Select a spot for the garden.,Plant the first garden.,1,confirmed,confirmed_edge
make extra money before college started,Look for jobs,Apply for jobs,1,confirmed,confirmed_edge
make homemade potato chips,scrub and peel potatoes,look up a potato chip recipe,0,reversed,reversed_edge
build a snowman,walk outside into the yard,put on boots,0,reversed,reversed_edge
decided on a college soon,Tour the college.,Prepare a college resume.,1,confirmed,confirmed_edge
raise money for their school club,Work the fundraiser.,Set up the fundraiser.,0,reversed,reversed_edge
find a wife,log on to the internet,visit sites offering foreign brides,1,confirmed,confirmed_edge
let the church know about a fundraiser,get the person in charge on the line,call the church,0,reversed,reversed_edge
purchase a new car,select car wanted,test drive cars,0,reversed,reversed_edge
plant an apple tree,put apple tree in truck,buy an apple tree,0,reversed,reversed_edge
do research about dolphins,go to the local library,click on links to articles about dolphins,2,flexible,incomparable_pair
go to space,apply to join honors program,after high school go to college for bachelors,2,flexible,incomparable_pair
do research about dolphins,swim with the dolphins,click on links to articles about dolphins,0,reversed,reversed_edge
have a nerf gun war,scatter in all directions,shoot at anyone passing by,1,confirmed,confirmed_edge
order Chinese food,Call the restaurant,Get payment method ready,0,reversed,reversed_edge
look good for a dance,Put on a nice dress,Dry and style hair,2,flexible,incomparable_pair
play the trombone,put sheet music on music stand,find trombone in the house,2,flexible,incomparable_pair
learn how to line dance,Watch other dancers,Listen to and watch the teacher,2,flexible,incomparable_pair
take a cruise,Go online with a browser,turn on computer,0,reversed,reversed_edge
wake up for school,doze in and out,snooze alarm and roll over,0,reversed,reversed_edge
try wearing ripped jeans,Walk to section jeans are sold,Choose a pair of jeans to try on,1,confirmed,confirmed_edge
leave the house,Put outside clothing on,Find keys and wallet,2,flexible,incomparable_pair
go to NYC at christmas time,get on airplane,arrive to destination,1,confirmed,confirmed_edge
know why religion was so controversial,read books on religion,read news articles about religion,2,flexible,incomparable_pair
attend a wine tasting,Search local wine tasting events,Make a reservation,1,confirmed,confirmed_edge
bake some chocolate chip cookies,mix the wet ingredients,get out the ingredients,0,reversed,reversed_edge
learn how to play poker like a professional,play poker in a casino,play poker for friends for money,0,reversed,reversed_edge
pry open a frozen car door,Pour water on frozen door to loosen,Obtain water bottle,0,reversed,reversed_edge
cook something good,Look up a recipe online,Make a list of ingredients needed,1,confirmed,confirmed_edge
take up boxing so bad,Travel to gym.,Purchase needed equipment.,0,reversed,reversed_edge
go fishing anymore,Wait for a nice day to go fishing,Travel to the body of water with the fishing equipment,1,confirmed,confirmed_edge
buy a book,Take the receipt from the cashier,Take the change from the cashier,2,flexible,incomparable_pair
get a brand new TV,look through the selection of TVs,look at reviews for televisions,2,flexible,incomparable_pair
find a part time job,Fill out applications,Upload a resume,2,flexible,incomparable_pair
have a birthday party,make food for the party,decorate the location for the party,2,flexible,incomparable_pair
live a healthier lifestyle,purchase a selection of vegetables,purchase lean white meats,2,flexible,incomparable_pair
pry open a frozen car door,Pour water on frozen door to loosen,Obtain a crowbar,2,flexible,incomparable_pair
go on vacation after studying hard in college,go online and look at flights,book a hotel,2,flexible,incomparable_pair
do research about dolphins,read books on dolphins,click on links to articles about dolphins,2,flexible,incomparable_pair
own a boat,Provide payment to the merchant to take ownership,Negotiate to establish a price for the selected boat,0,reversed,reversed_edge
learn to play the drums,Buy a set of drums.,Watch lessons online.,2,flexible,incomparable_pair
take tap dancing lessons,research local tap dance classes,pick out a class,1,confirmed,confirmed_edge
plant seeds after the winter,get a shovel,dig  a row a few inches deep,1,confirmed,confirmed_edge
buy a new bike,ask to ride desired bike.,look for a bike that meets needs.,0,reversed,reversed_edge
go to the hardware store for a faucet,drive home from store,buy the faucet,0,reversed,reversed_edge
get Chinese food,Walk in the door,Drive to the restaurant,0,reversed,reversed_edge
teach horseback riding,Schedule a time,Put together a class,0,reversed,reversed_edge
have a house party,greet guests on arrival,mingle with guests and chat,1,confirmed,confirmed_edge
get a brand new TV,look at reviews for televisions,make final purchase decision,2,flexible,incomparable_pair
start a comic book,Decide on a setting,Write an outline for the story,1,confirmed,confirmed_edge
put away some blocks,Scan area for block pieces,Place bin near blocks,2,flexible,incomparable_pair
read a book,return home from library,check out the desired book,0,reversed,reversed_edge
purchase a new car,arrange financing for the car,select car wanted,0,reversed,reversed_edge
make pasta with fresh mushrooms,put two pots on the stove,take out a cutting board and knife,2,flexible,incomparable_pair
join the tennis team,Find a good tennis court nearby,Buy tennis gear from a sporting goods store.,2,flexible,incomparable_pair
have fresh herbs to enjoy year-round,Buy pots for plants,Purchase seeds for herbs,2,flexible,incomparable_pair
go to the library downtown,check the library's hours online,check the bus schedule online,2,flexible,incomparable_pair
go on a helicopter ride,Drive to the airport with helicopter,Hand ticket to representative,1,confirmed,confirmed_edge
make a fort,put materials and supplies together,buy materials and supplies,0,reversed,reversed_edge
get a new car,taken an Uber to a car dealership,talk to a salesman about cars,1,confirmed,confirmed_edge
throw the best Halloween party,send out invitations,place a lighted jack-o-lantern on the porch,2,flexible,incomparable_pair
impress a group of popular girls at school,Travel to location popular girls are.,Research popular girl interests.,2,flexible,incomparable_pair
put away some blocks,Pick up bin to put blocks in,Push blocks into a pile,2,flexible,incomparable_pair
expand their business scope,find a school that offers classes,research the credentials needed,2,flexible,incomparable_pair
knit a sweater,Purchase the materials,Drive the materials home,1,confirmed,confirmed_edge
learn how to paint,drive to the crafts store,browse painting supplies,1,confirmed,confirmed_edge
sit in the front seat of the car,put clothes on,take a shower,0,reversed,reversed_edge
run a half-marathon,Research good clothes to wear,Research how to train for a marathon,2,flexible,incomparable_pair
learn to bake a cake,Choose a popular video.,Search for baking cakes.,0,reversed,reversed_edge
learn how to play the piano,schedule piano lessons,call piano teacher,0,reversed,reversed_edge
start an apple orchard,purchase a long hose,purchase apple seeds,2,flexible,incomparable_pair
buy a new dress for new years eve,travel to store,figure out which specific one to buy,0,reversed,reversed_edge
buy a book,Take the receipt from the cashier,Wait for the money to be deposited and change returned,0,reversed,reversed_edge
make some chicken tenders for supper,get out baking pan,lay down tinfoil,1,confirmed,confirmed_edge
do was hit a homerun,walk up to the plate,take a few practice swings,0,reversed,reversed_edge
start a Babysitters Club like in the books,put up flyers around town,print out bright colored flyers,0,reversed,reversed_edge
bring a family recipe,drive home from grocery store,cook dish according to the recipe,1,confirmed,confirmed_edge
purchase new living room furniture,find the furniture section needed,compare furniture to decide what is best,1,confirmed,confirmed_edge
purchase a new car,arrange financing for the car,Sign the papers and drive,1,confirmed,confirmed_edge
get their computers ready,Plug each computer in,Transfer computers to desk station,0,reversed,reversed_edge
see a big movie premier,Remain seated until the movie is over,Find a seat before the movie starts,0,reversed,reversed_edge
learn how to make rice for months,fill pots and pans with gallons of water,measure portions according to rice instructions,1,confirmed,confirmed_edge
swim at a nearby lake,Grab a swimsuit,Hop into car with swimsuit,1,confirmed,confirmed_edge
make dinner for some guests,Buy the ingredients on the list.,Drive to the grocery store.,0,reversed,reversed_edge
learn to play the piano,Call the piano teacher,Agree on a plan to work with the teacher,1,confirmed,confirmed_edge
escape from prison,Run through the tunnel and keep running,Dig a tunnel towards nearest place in the fence,0,reversed,reversed_edge
talk to the new girl in school,Find out what classes the new girl takes.,Find out the new girls name.,0,reversed,reversed_edge
work at a bank,get the call for the interview,fill out the online application,0,reversed,reversed_edge
learn how to line dance,Watch other dancers,Sign up for a dance class,2,flexible,incomparable_pair
sing a song at work,settle in at work,Go to work,0,reversed,reversed_edge
go to college,Fill out and submit college applications.,Request applications from selected colleges.,0,reversed,reversed_edge
join a club,Drive to the next meeting.,Find club hours.,0,reversed,reversed_edge
start a book club,Pick a time and a place to meet every week.,Drive to the location.,1,confirmed,confirmed_edge
buy a purple blouse,purchase the blouse and take  home,find the purple blouse,0,reversed,reversed_edge
make a new skirt,Pin the skirt together.,Cut out the pattern and material.,0,reversed,reversed_edge
